"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"AS",138,"ANC","ORD",5,1405,345,0.881692,0.121212,0.788889,0.423253,0.37143,0.211311,0.328966,0.693672,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6352,"SFO","TUS",6,1266,113,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",48,"RDU","MCO",1,820,105,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.730193,0.136363,0.211311,0.286873,0.740968,0.274428,0.486401,0.540727,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.681477,0.712121,0.352183,0.385089,0.614845,0.298183,0.375268,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"US",1854,"CLT","PVD",2,870,110,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.853854,0.121212,0.289259,0.508561,0.61106,0.211311,0.371058,0.693672,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.746253,0.272727,0.271029,0.350927,0.638151,0.222082,0.332929,0.673082,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.755353,0.742424,0.272032,0.400089,0.568091,0.403991,0.369318,0.591653,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.730728,0.121212,0.204906,0.112493,0.96086,0.289259,0.465905,0.61106,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.866702,0.106061,0.296975,0.347168,0.720515,0.316964,0.41315,0.646375,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.860814,0.136363,0.352183,0.371058,0.551783,0.620824,0.845818,0.118422,1,"Private",186824,"HS-grad",9,"Never-married","Machine-op-inspct","Unmarried","White","Male",0,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.761777,0.121212,0.039445,0.380601,0.850693,0.222082,0.370562,0.673082,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OH",6362,"HTS","CVG",7,885,55,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.865632,0.136363,0.176093,0.371058,0.693671,0.352183,0.41315,0.551783,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",1992,"RDU","CLT",4,864,66,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",1065,"ATL","JAX",6,565,74,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",2652,"TPA","LGA",7,915,155,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"YV",2915,"PSP","PHX",4,557,68,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"UA",551,"ALB","ORD",1,516,150,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.868844,0.121212,0.204906,0.444856,0.63409,0.039445,0.508561,0.706914,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",510,"PDX","SMF",5,725,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.748929,0.121212,0.324948,0.337945,0.754839,0.211311,0.328966,0.646375,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"B6",6,"JFK","BUF",1,953,95,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6879,"SFO","SBA",1,426,81,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.877409,0.106061,0.369316,0.563318,0.574791,0.411019,0.445835,0.50393,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"9E",4207,"SDF","DTW",1,765,90,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"EV",4964,"ATL","LEX",4,900,74,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",4318,"ORD","BWI",6,845,115,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.635974,0.742424,0.33763,0.10494,0.769892,0.364326,0.427664,0.537107,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.725375,0.166666,0.302797,0.170276,0.815988,0.335928,0.352712,0.668205,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"B6",324,"FLL","BDL",3,670,171,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.695396,0.136363,0.387401,0.371058,0.599079,0.164353,0.270686,0.852537,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.770343,0.121212,0.239667,0.444856,0.540727,0.289259,0.465905,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.773555,0.151515,0.283311,0.330837,0.738865,0.239667,0.486401,0.680771,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.77409,0.772727,0.308011,0.251918,0.766618,0.320487,0.348611,0.688941,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.817987,0.136363,0.509066,0.382539,0.558232,0.140874,0.371058,0.740968,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.822805,0.136363,0.316964,0.328966,0.740968,0.174492,0.128072,0.885002,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.855996,0.121212,0.432012,0.380601,0.563135,0.281746,0.455243,0.693672,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6406,"EUG","SFO",5,747,90,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",2051,"STL","DAL",6,1180,105,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.783726,0.136363,0.176093,0.202692,0.693671,0.246527,0.328966,0.693672,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AA",1413,"DFW","LAS",5,465,175,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.740899,0.151515,0.198667,0.352712,0.806452,0.37871,0.40331,0.63409,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OO",7040,"SFO","ACV",7,554,79,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"F9",796,"PDX","DEN",7,904,143,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.767131,0.136363,0.352183,0.539428,0.457191,0.216226,0.176262,0.828957,3,"Private",176681,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,0,"United-States",0
"XE",5995,"BIS","ORD",2,879,124,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",1376,"LGA","BOS",7,570,76,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.897752,0.121212,0.788889,0.465905,0.37143,0.396322,0.124681,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.743041,0.772727,0.376061,0.089255,0.888463,0.348039,0.461964,0.576423,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",411,"PHL","LAS",2,635,350,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2133,"MSP","ATL",4,930,154,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.817452,0.121212,0.146508,0.337945,0.754839,0.274428,0.569492,0.494045,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.610814,0.787879,0.33763,0.10494,0.769892,0.303054,0.220024,0.757661,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.837794,0.136363,0.316964,0.244784,0.646375,0.246527,0.328966,0.788264,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.785867,0.136363,0.253572,0.596376,0.461645,0.211311,0.371058,0.646375,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.852248,0.121212,0.222082,0.370562,0.673082,0.432012,0.380601,0.563135,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6819,"SFO","PSP",4,1163,79,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",3073,"BWI","SAN",7,510,360,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.748929,0.151515,0.170145,0.361765,0.727452,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.756424,0.136363,0.211311,0.286873,0.788264,0.211311,0.41315,0.693672,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AA",1920,"LAX","SFO",2,460,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",1620,"MDW","PHX",5,430,245,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"9E",4154,"DTW","BGR",1,1295,126,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",1468,"SAN","CVG",3,685,240,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"XE",2227,"DCA","EWR",4,405,67,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",1181,"PBI","CLT",3,720,113,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",3693,"RIC","MIA",7,895,160,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.786938,0.757576,0.244421,0.147647,0.806452,0.454316,0.401925,0.53917,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",2837,"LAS","ABQ",6,1100,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",3425,"SEA","SLC",5,575,110,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,1,"Local-gov",147921,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,2,"United-States",1
"WN",2131,"PHL","PBI",7,850,170,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",1174,"SDF","ATL",7,360,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.664347,0.666666,0.200522,0.491267,0.607174,0.280563,0.327552,0.697248,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.984475,0.045454,0.860266,0.807132,0.083872,0.712417,0.432392,0.522053,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2364,"HNL","LAX",2,845,325,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.78212,0.772727,0.359749,0.395757,0.561945,0.308011,0.306138,0.736158,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.731263,0.772727,0.310613,0.153699,0.61381,0.308011,0.360357,0.644772,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"UA",450,"DEN","MSP",6,946,121,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"B6",1289,"BOS","RIC",1,1165,105,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.843148,0.121212,0.204906,0.32022,0.774134,0.432012,0.252641,0.61106,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",1694,"TPA","PHL",3,475,148,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"UA",243,"DEN","LAS",2,490,122,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.87152,0.151515,0.323672,0.417159,0.599079,0.37871,0.40331,0.63409,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.837794,0.136363,0.246527,0.328966,0.740968,0.37871,0.361765,0.540727,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.775696,0.121212,0.289259,0.465905,0.658988,0.37871,0.40331,0.63409,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",769,"BWI","FLL",4,705,160,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"MQ",4492,"JFK","CMH",5,1200,125,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.924518,0,0.176093,0.328966,0.740968,0.597133,0.801403,0.344245,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.855996,0.121212,0.352183,0.539428,0.457191,0.396322,0.124681,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.852784,0.106061,0.352183,0.371058,0.551783,0.658676,0.693005,0.283348,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",44,"HOU","DAL",3,1020,60,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.767131,0.757576,0.381681,0.393723,0.437788,0.231268,0.32195,0.74885,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2649,"EWR","MSP",2,1095,197,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.622056,0.787879,0.482993,0.43508,0.425398,0.342791,0.401925,0.599079,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",797,"MDW","TPA",4,875,160,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"MQ",2841,"DFW","DSM",1,555,110,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.570664,0.772727,0.330695,0.306138,0.675232,0.262645,0.251918,0.797081,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",47,"ATL","BOS",2,1145,157,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,4,"Private",142076,"HS-grad",9,"Divorced","Tech-support","Not-in-family","White","Male",2,0,2,"United-States",0
"F9",720,"DEN","DCA",5,990,193,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.773555,0.772727,0.403991,0.369318,0.591653,0.262645,0.306138,0.736158,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.77409,0.136363,0.316964,0.244784,0.646375,0.246527,0.539428,0.551783,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6355,"BOI","DEN",5,450,110,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.652034,0.863636,0.065598,0.705545,0.523624,0.085207,0.687429,0.541104,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",1840,"LIH","LAX",4,1303,317,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,2,"Federal-gov",90737,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,2,2,"United-States",0
"WN",173,"LIT","MDW",7,445,100,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",642,"SAT","DFW",5,1040,70,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.797645,0.80303,0.065598,0.705545,0.523624,0.387401,0.348611,0.629032,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.848501,0.121212,0.253572,0.508561,0.61106,0.34395,0.32022,0.680771,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",1883,"PVD","PHL",7,1190,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,0,"Private",300008,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,2,"United-States",1
